-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-
Index,Protocol,Sample Tube Barcode,Input Barcode,Input Well Number,Output Barcode,Output Well Number,Date/Time,UserName,Machine SN,Reagent Names,Reagent Lot Numbers
385,QPCR_PREP,----------,Plate_Samples_1,A1,Plate_qPCR,A1,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
386,QPCR_PREP,----------,Plate_Samples_2,A1,Plate_qPCR,B1,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
387,QPCR_PREP,----------,Plate_Samples_1,B1,Plate_qPCR,C1,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
388,QPCR_PREP,----------,Plate_Samples_2,B1,Plate_qPCR,D1,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
389,QPCR_PREP,----------,Plate_Samples_1,C1,Plate_qPCR,E1,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
390,QPCR_PREP,----------,Plate_Samples_2,C1,Plate_qPCR,F1,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
391,QPCR_PREP,----------,Plate_Samples_1,D1,Plate_qPCR,G1,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
392,QPCR_PREP,----------,Plate_Samples_2,D1,Plate_qPCR,H1,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
393,QPCR_PREP,----------,Plate_Samples_1,E1,Plate_qPCR,I1,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
394,QPCR_PREP,----------,Plate_Samples_2,E1,Plate_qPCR,J1,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
395,QPCR_PREP,----------,Plate_Samples_1,F1,Plate_qPCR,K1,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
396,QPCR_PREP,----------,Plate_Samples_2,F1,Plate_qPCR,L1,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
397,QPCR_PREP,----------,Plate_Samples_1,G1,Plate_qPCR,M1,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
398,QPCR_PREP,----------,Plate_Samples_2,G1,Plate_qPCR,N1,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
399,QPCR_PREP,----------,Plate_Samples_1,H1,Plate_qPCR,O1,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
400,QPCR_PREP,----------,Plate_Samples_2,H1,Plate_qPCR,P1,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
401,QPCR_PREP,----------,Plate_Samples_3,A1,Plate_qPCR,A2,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
402,QPCR_PREP,----------,Plate_Samples_4,A1,Plate_qPCR,B2,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
403,QPCR_PREP,----------,Plate_Samples_3,B1,Plate_qPCR,C2,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
404,QPCR_PREP,----------,Plate_Samples_4,B1,Plate_qPCR,D2,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
405,QPCR_PREP,----------,Plate_Samples_3,C1,Plate_qPCR,E2,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
406,QPCR_PREP,----------,Plate_Samples_4,C1,Plate_qPCR,F2,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
407,QPCR_PREP,----------,Plate_Samples_3,D1,Plate_qPCR,G2,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
408,QPCR_PREP,----------,Plate_Samples_4,D1,Plate_qPCR,H2,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
409,QPCR_PREP,----------,Plate_Samples_3,E1,Plate_qPCR,I2,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
410,QPCR_PREP,----------,Plate_Samples_4,E1,Plate_qPCR,J2,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
411,QPCR_PREP,----------,Plate_Samples_3,F1,Plate_qPCR,K2,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
412,QPCR_PREP,----------,Plate_Samples_4,F1,Plate_qPCR,L2,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
413,QPCR_PREP,----------,Plate_Samples_3,G1,Plate_qPCR,M2,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
414,QPCR_PREP,----------,Plate_Samples_4,G1,Plate_qPCR,N2,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
415,QPCR_PREP,----------,Plate_Samples_3,H1,Plate_qPCR,O2,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
416,QPCR_PREP,----------,Plate_Samples_4,H1,Plate_qPCR,P2,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
417,QPCR_PREP,----------,Plate_Samples_1,A2,Plate_qPCR,A3,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
418,QPCR_PREP,----------,Plate_Samples_2,A2,Plate_qPCR,B3,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
419,QPCR_PREP,----------,Plate_Samples_1,B2,Plate_qPCR,C3,6/22/2020 10:13,dpmci,E337,"['primers', 'probes', 'mastermix', 'positive control']","['0','0','0','0']"
